proxy_split,role,grouped_scene_id,frame_stem,tile_id,tile_stem
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__005_1631704334.600000019,tile_0_0,4_station_pedestrian_bridge_4.3__005_1631704334.600000019__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__005_1631704334.600000019,tile_0_1,4_station_pedestrian_bridge_4.3__005_1631704334.600000019__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__005_1631704334.600000019,tile_1_0,4_station_pedestrian_bridge_4.3__005_1631704334.600000019__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__005_1631704334.600000019,tile_1_1,4_station_pedestrian_bridge_4.3__005_1631704334.600000019__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__006_1631704334.700000022,tile_0_0,4_station_pedestrian_bridge_4.3__006_1631704334.700000022__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__006_1631704334.700000022,tile_0_1,4_station_pedestrian_bridge_4.3__006_1631704334.700000022__tile_0_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__006_1631704334.700000022,tile_1_0,4_station_pedestrian_bridge_4.3__006_1631704334.700000022__tile_1_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__006_1631704334.700000022,tile_1_1,4_station_pedestrian_bridge_4.3__006_1631704334.700000022__tile_1_1
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__007_1631704334.800000024,tile_0_0,4_station_pedestrian_bridge_4.3__007_1631704334.800000024__tile_0_0
proxy_0,heldout,4_station_pedestrian_bridge_4,4_station_pedestrian_bridge_4.3__007_1631704334.800000024,tile_0_1,4_station_pedestrian_bridge_4.3__007_1631704334.800000024__tile_0_1
