proxy_split,role,grouped_scene_id,subsequence_id,frame_id,frame_stem
proxy_0,source,8_station_altona_8,8_station_altona_8.1,10,8_station_altona_8.1__010_1631700810.100000015
proxy_0,source,8_station_altona_8,8_station_altona_8.1,100,8_station_altona_8.1__100_1631700819.100000006
proxy_0,source,8_station_altona_8,8_station_altona_8.1,101,8_station_altona_8.1__101_1631700819.200000002
proxy_0,source,8_station_altona_8,8_station_altona_8.1,102,8_station_altona_8.1__102_1631700819.300000029
proxy_0,source,8_station_altona_8,8_station_altona_8.1,103,8_station_altona_8.1__103_1631700819.400000025
proxy_0,source,8_station_altona_8,8_station_altona_8.1,104,8_station_altona_8.1__104_1631700819.500000020
proxy_0,source,8_station_altona_8,8_station_altona_8.1,105,8_station_altona_8.1__105_1631700819.600000016
proxy_0,source,8_station_altona_8,8_station_altona_8.1,106,8_station_altona_8.1__106_1631700819.700000011
proxy_0,source,8_station_altona_8,8_station_altona_8.1,107,8_station_altona_8.1__107_1631700819.800000007
proxy_0,source,8_station_altona_8,8_station_altona_8.1,108,8_station_altona_8.1__108_1631700819.900000002
proxy_0,source,8_station_altona_8,8_station_altona_8.1,109,8_station_altona_8.1__109_1631700820.000000001
proxy_0,source,8_station_altona_8,8_station_altona_8.1,11,8_station_altona_8.1__011_1631700810.200000029
proxy_0,source,8_station_altona_8,8_station_altona_8.1,12,8_station_altona_8.1__012_1631700810.300000011
proxy_0,source,8_station_altona_8,8_station_altona_8.1,13,8_station_altona_8.1__013_1631700810.400000025
proxy_0,source,8_station_altona_8,8_station_altona_8.1,14,8_station_altona_8.1__014_1631700810.500000007
proxy_0,source,8_station_altona_8,8_station_altona_8.1,15,8_station_altona_8.1__015_1631700810.600000021
proxy_0,source,8_station_altona_8,8_station_altona_8.1,16,8_station_altona_8.1__016_1631700810.700000004
proxy_0,source,8_station_altona_8,8_station_altona_8.1,17,8_station_altona_8.1__017_1631700810.800000018
proxy_0,source,8_station_altona_8,8_station_altona_8.1,18,8_station_altona_8.1__018_1631700810.900000000
proxy_0,source,8_station_altona_8,8_station_altona_8.1,19,8_station_altona_8.1__019_1631700811.000000014
proxy_0,source,8_station_altona_8,8_station_altona_8.1,20,8_station_altona_8.1__020_1631700811.100000001
proxy_0,source,8_station_altona_8,8_station_altona_8.1,21,8_station_altona_8.1__021_1631700811.200000019
proxy_0,source,8_station_altona_8,8_station_altona_8.1,22,8_station_altona_8.1__022_1631700811.300000005
proxy_0,source,8_station_altona_8,8_station_altona_8.1,23,8_station_altona_8.1__023_1631700811.400000023
proxy_0,source,8_station_altona_8,8_station_altona_8.1,24,8_station_altona_8.1__024_1631700811.500000009
proxy_0,source,8_station_altona_8,8_station_altona_8.1,25,8_station_altona_8.1__025_1631700811.600000028
proxy_0,source,8_station_altona_8,8_station_altona_8.1,26,8_station_altona_8.1__026_1631700811.700000014
proxy_0,source,8_station_altona_8,8_station_altona_8.1,27,8_station_altona_8.1__027_1631700811.800000000
proxy_0,source,8_station_altona_8,8_station_altona_8.1,28,8_station_altona_8.1__028_1631700811.900000018
proxy_0,source,8_station_altona_8,8_station_altona_8.1,29,8_station_altona_8.1__029_1631700812.000000004
proxy_0,source,8_station_altona_8,8_station_altona_8.1,30,8_station_altona_8.1__030_1631700812.100000016
proxy_0,source,8_station_altona_8,8_station_altona_8.1,31,8_station_altona_8.1__031_1631700812.200000027
proxy_0,source,8_station_altona_8,8_station_altona_8.1,32,8_station_altona_8.1__032_1631700812.300000007
proxy_0,source,8_station_altona_8,8_station_altona_8.1,33,8_station_altona_8.1__033_1631700812.400000019
proxy_0,source,8_station_altona_8,8_station_altona_8.1,34,8_station_altona_8.1__034_1631700812.500000031
proxy_0,source,8_station_altona_8,8_station_altona_8.1,35,8_station_altona_8.1__035_1631700812.600000011
proxy_0,source,8_station_altona_8,8_station_altona_8.1,36,8_station_altona_8.1__036_1631700812.700000023
proxy_0,source,8_station_altona_8,8_station_altona_8.1,37,8_station_altona_8.1__037_1631700812.800000002
proxy_0,source,8_station_altona_8,8_station_altona_8.1,38,8_station_altona_8.1__038_1631700812.900000014
proxy_0,source,8_station_altona_8,8_station_altona_8.1,39,8_station_altona_8.1__039_1631700813.000000026
proxy_0,source,8_station_altona_8,8_station_altona_8.1,40,8_station_altona_8.1__040_1631700813.100000005
proxy_0,source,8_station_altona_8,8_station_altona_8.1,41,8_station_altona_8.1__041_1631700813.200000015
proxy_0,source,8_station_altona_8,8_station_altona_8.1,42,8_station_altona_8.1__042_1631700813.300000026
proxy_0,source,8_station_altona_8,8_station_altona_8.1,43,8_station_altona_8.1__043_1631700813.400000005
proxy_0,source,8_station_altona_8,8_station_altona_8.1,44,8_station_altona_8.1__044_1631700813.500000015
proxy_0,source,8_station_altona_8,8_station_altona_8.1,45,8_station_altona_8.1__045_1631700813.600000026
proxy_0,source,8_station_altona_8,8_station_altona_8.1,46,8_station_altona_8.1__046_1631700813.700000005
proxy_0,source,8_station_altona_8,8_station_altona_8.1,47,8_station_altona_8.1__047_1631700813.800000015
proxy_0,source,8_station_altona_8,8_station_altona_8.1,48,8_station_altona_8.1__048_1631700813.900000026
proxy_0,source,8_station_altona_8,8_station_altona_8.1,49,8_station_altona_8.1__049_1631700814.000000005
proxy_0,source,8_station_altona_8,8_station_altona_8.1,50,8_station_altona_8.1__050_1631700814.100000020
proxy_0,source,8_station_altona_8,8_station_altona_8.1,51,8_station_altona_8.1__051_1631700814.200000003
proxy_0,source,8_station_altona_8,8_station_altona_8.1,52,8_station_altona_8.1__052_1631700814.300000018
proxy_0,source,8_station_altona_8,8_station_altona_8.1,53,8_station_altona_8.1__053_1631700814.400000001
proxy_0,source,8_station_altona_8,8_station_altona_8.1,54,8_station_altona_8.1__054_1631700814.500000016
proxy_0,source,8_station_altona_8,8_station_altona_8.1,55,8_station_altona_8.1__055_1631700814.600000031
proxy_0,source,8_station_altona_8,8_station_altona_8.1,56,8_station_altona_8.1__056_1631700814.700000014
proxy_0,source,8_station_altona_8,8_station_altona_8.1,57,8_station_altona_8.1__057_1631700814.800000029
proxy_0,source,8_station_altona_8,8_station_altona_8.1,58,8_station_altona_8.1__058_1631700814.900000012
proxy_0,source,8_station_altona_8,8_station_altona_8.1,59,8_station_altona_8.1__059_1631700815.000000024
proxy_0,source,8_station_altona_8,8_station_altona_8.1,60,8_station_altona_8.1__060_1631700815.100000028
proxy_0,source,8_station_altona_8,8_station_altona_8.1,61,8_station_altona_8.1__061_1631700815.200000001
proxy_0,source,8_station_altona_8,8_station_altona_8.1,62,8_station_altona_8.1__062_1631700815.300000005
proxy_0,source,8_station_altona_8,8_station_altona_8.1,63,8_station_altona_8.1__063_1631700815.400000009
proxy_0,source,8_station_altona_8,8_station_altona_8.1,64,8_station_altona_8.1__064_1631700815.500000013
proxy_0,source,8_station_altona_8,8_station_altona_8.1,65,8_station_altona_8.1__065_1631700815.600000017
proxy_0,source,8_station_altona_8,8_station_altona_8.1,66,8_station_altona_8.1__066_1631700815.700000021
proxy_0,source,8_station_altona_8,8_station_altona_8.1,67,8_station_altona_8.1__067_1631700815.800000025
proxy_0,source,8_station_altona_8,8_station_altona_8.1,68,8_station_altona_8.1__068_1631700815.900000029
proxy_0,source,8_station_altona_8,8_station_altona_8.1,69,8_station_altona_8.1__069_1631700816.000000004
proxy_0,source,8_station_altona_8,8_station_altona_8.1,70,8_station_altona_8.1__070_1631700816.100000019
proxy_0,source,8_station_altona_8,8_station_altona_8.1,71,8_station_altona_8.1__071_1631700816.200000002
proxy_0,source,8_station_altona_8,8_station_altona_8.1,72,8_station_altona_8.1__072_1631700816.300000018
proxy_0,source,8_station_altona_8,8_station_altona_8.1,73,8_station_altona_8.1__073_1631700816.400000001
proxy_0,source,8_station_altona_8,8_station_altona_8.1,74,8_station_altona_8.1__074_1631700816.500000016
proxy_0,source,8_station_altona_8,8_station_altona_8.1,75,8_station_altona_8.1__075_1631700816.600000000
proxy_0,source,8_station_altona_8,8_station_altona_8.1,76,8_station_altona_8.1__076_1631700816.700000015
proxy_0,source,8_station_altona_8,8_station_altona_8.1,77,8_station_altona_8.1__077_1631700816.800000031
proxy_0,source,8_station_altona_8,8_station_altona_8.1,78,8_station_altona_8.1__078_1631700816.900000014
proxy_0,source,8_station_altona_8,8_station_altona_8.1,79,8_station_altona_8.1__079_1631700817.000000027
proxy_0,source,8_station_altona_8,8_station_altona_8.1,80,8_station_altona_8.1__080_1631700817.100000004
proxy_0,source,8_station_altona_8,8_station_altona_8.1,81,8_station_altona_8.1__081_1631700817.200000013
proxy_0,source,8_station_altona_8,8_station_altona_8.1,82,8_station_altona_8.1__082_1631700817.300000022
proxy_0,source,8_station_altona_8,8_station_altona_8.1,83,8_station_altona_8.1__083_1631700817.400000031
proxy_0,source,8_station_altona_8,8_station_altona_8.1,84,8_station_altona_8.1__084_1631700817.500000008
