ID,image_name,image_path,split,image_width,image_height,original_dataset,original_scene,original_camera,original_frame_id,original_frame_name
1,img_001_train.png,images/train/img_001_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,6,frame_0006.png
2,img_002_train.png,images/train/img_002_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,52,frame_0052.png
3,img_003_train.png,images/train/img_003_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,92,frame_0092.png
4,img_004_train.png,images/train/img_004_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,110,frame_0110.png
5,img_005_train.png,images/train/img_005_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,124,frame_0124.png
6,img_006_train.png,images/train/img_006_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,142,frame_0142.png
7,img_007_train.png,images/train/img_007_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,147,frame_0147.png
8,img_008_train.png,images/train/img_008_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,154,frame_0154.png
9,img_009_train.png,images/train/img_009_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,159,frame_0159.png
10,img_010_train.png,images/train/img_010_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,188,frame_0188.png
11,img_011_train.png,images/train/img_011_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,193,frame_0193.png
12,img_012_train.png,images/train/img_012_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,201,frame_0201.png
13,img_013_train.png,images/train/img_013_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,255,frame_0255.png
14,img_014_train.png,images/train/img_014_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,291,frame_0291.png
15,img_015_train.png,images/train/img_015_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,296,frame_0296.png
16,img_016_train.png,images/train/img_016_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,314,frame_0314.png
17,img_017_train.png,images/train/img_017_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,333,frame_0333.png
18,img_018_train.png,images/train/img_018_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,423,frame_0423.png
19,img_019_train.png,images/train/img_019_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,429,frame_0429.png
20,img_020_train.png,images/train/img_020_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,452,frame_0452.png
21,img_021_train.png,images/train/img_021_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,455,frame_0455.png
22,img_022_train.png,images/train/img_022_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,473,frame_0473.png
23,img_023_train.png,images/train/img_023_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,492,frame_0492.png
24,img_024_train.png,images/train/img_024_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,498,frame_0498.png
25,img_025_train.png,images/train/img_025_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,526,frame_0526.png
26,img_026_train.png,images/train/img_026_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,596,frame_0596.png
27,img_027_train.png,images/train/img_027_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,614,frame_0614.png
28,img_028_train.png,images/train/img_028_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,627,frame_0627.png
29,img_029_train.png,images/train/img_029_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,717,frame_0717.png
30,img_030_train.png,images/train/img_030_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,743,frame_0743.png
31,img_031_train.png,images/train/img_031_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,782,frame_0782.png
32,img_032_train.png,images/train/img_032_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,787,frame_0787.png
33,img_033_train.png,images/train/img_033_train.png,train,3840,2160,Biederitz_Leipzig,scene_01,center,859,frame_0859.png
